"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"BUILT_BY";"COPYRIGHT";"CREATED_BY";"DESCRIPTION";"DIGI_KEY_PART_NUMBER";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SOURCELIBRARY";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";"VENDOR";
"C_OUT4";"CGA6L2X7R1H105K160AA";"CGA6L2X7R1H105K160AA";"CAPC3225X280N";"TDK CGA6L2X7R1H105K160AA 1F MLCC 50V dc +/-10% Tolerance SMD";"CGA6L2X7R1H105K160AA";"https://www.arrow.com/en/products/cga6l2x7r1h105k160aa/tdk";"";"";"";"TDK CGA6L2X7R1H105K160AA 1F MLCC 50V dc +/-10% Tolerance SMD";"";"2.8mm";"";"TDK";"CGA6L2X7R1H105K160AA";"";"810-CGA6L2X7R1H105K";"https://www.mouser.com/Search/Refine.aspx?Keyword=810-CGA6L2X7R1H105K";"";"";"";"";"";"";"";"";"";
"C_S1";"470n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"C_S2";"470nF";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"D3";"CMMR1U-02_TR";"CMMR1U-02_TR";"SODFL3818X108N";"Rectifiers Ultra Fast Rectifier Single";"";"";"";"";"";"Rectifiers Ultra Fast Rectifier Single";"";"1.08mm";"";"Central Semiconductor";"CMMR1U-02 TR";"";"610-CMMR1U-02";"https://www.mouser.com/Search/Refine.aspx?Keyword=610-CMMR1U-02";"";"";"";"";"";"";"";"";"";
"D4";"CMMR1U-02_TR";"CMMR1U-02_TR";"SODFL3818X108N";"Rectifiers Ultra Fast Rectifier Single";"";"";"";"";"";"Rectifiers Ultra Fast Rectifier Single";"";"1.08mm";"";"Central Semiconductor";"CMMR1U-02 TR";"";"610-CMMR1U-02";"https://www.mouser.com/Search/Refine.aspx?Keyword=610-CMMR1U-02";"";"";"";"";"";"";"";"";"";
"D_S";"";"LED_E";"LED_1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"D";"diode";"";
"I2C_COMM";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"";"";"";"";"";"";"";"";"";"";"";"MOLEX";"";"";"22-23-2021";"1462926";"25C3832";"40";"";"";"";"";"";
"L1";"10u";"SER2915H-103KL";"SER2900";"Fixed Inductors SER2915H Hi Current 10 uH 10 % 30 A";"";"";"";"";"";"Fixed Inductors SER2915H Hi Current 10 uH 10 % 30 A";"";"mm";"";"COILCRAFT";"SER2915H-103KL";"";"994-SER2915H-103KL";"https://www.mouser.co.uk/ProductDetail/Coilcraft/SER2915H-103KL?qs=zCSbvcPd3pbm6JOcdM0KSg%3D%3D";"";"";"";"";"";"";"";"";"";
"M1";"BSC028N06NS";"BSC028N06NS";"PG-TDSON-8_1";"MOSFET N-Channel 60V 100A OptiMOS TDSON8 Infineon BSC028N06NS N-channel MOSFET Transistor, 100 A, 60 V, 8-Pin TDSON";"";"";"";"";"";"MOSFET N-Channel 60V 100A OptiMOS TDSON8 Infineon BSC028N06NS N-channel MOSFET Transistor, 100 A, 60 V, 8-Pin TDSON";"";"mm";"";"Infineon";"BSC028N06NS";"";"726-BSC028N06NS";"https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/BSC028N06NS?qs=EUA%2Fg8wssK3HptIwN0%252BK7A%3D%3D";"";"";"";"";"";"";"";"";"";
"M2";"BSC028N06NS";"BSC028N06NS";"PG-TDSON-8_1";"MOSFET N-Channel 60V 100A OptiMOS TDSON8 Infineon BSC028N06NS N-channel MOSFET Transistor, 100 A, 60 V, 8-Pin TDSON";"";"";"";"";"";"MOSFET N-Channel 60V 100A OptiMOS TDSON8 Infineon BSC028N06NS N-channel MOSFET Transistor, 100 A, 60 V, 8-Pin TDSON";"";"mm";"";"Infineon";"BSC028N06NS";"";"726-BSC028N06NS";"https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/BSC028N06NS?qs=EUA%2Fg8wssK3HptIwN0%252BK7A%3D%3D";"";"";"";"";"";"";"";"";"";
"M3";"BSC059N04LSGATMA1";"BSC059N04LSGATMA1";"BSC080N03LSG";"MOSFET N-Ch 40V 73A TDSON-8 OptiMOS 3";"BSC059N04LSGATMA1";"https://www.arrow.com/en/products/bsc059n04lsgatma1/infineon-technologies-ag";"";"";"";"MOSFET N-Ch 40V 73A TDSON-8 OptiMOS 3";"";"mm";"";"Infineon";"BSC059N04LSGATMA1";"";"726-BSC059N04LSGATMA";"https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/BSC059N04LSGATMA1/?qs=OwbwYO03UsIeXsXqrPLFnQ%3D%3D";"";"";"";"";"";"";"";"";"";
"M4";"BSC059N04LSGATMA1";"BSC059N04LSGATMA1";"BSC080N03LSG";"MOSFET N-Ch 40V 73A TDSON-8 OptiMOS 3";"BSC059N04LSGATMA1";"https://www.arrow.com/en/products/bsc059n04lsgatma1/infineon-technologies-ag";"";"";"";"MOSFET N-Ch 40V 73A TDSON-8 OptiMOS 3";"";"mm";"";"Infineon";"BSC059N04LSGATMA1";"";"726-BSC059N04LSGATMA";"https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/BSC059N04LSGATMA1/?qs=OwbwYO03UsIeXsXqrPLFnQ%3D%3D";"";"";"";"";"";"";"";"";"";
"R4";"200k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"R5";"10k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"R6";"18.2k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"R7";"10k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"R8";"10k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"R9";"1.3k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"R10";"100k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"R12";"53.6k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"R13";"10k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
"R18";"215k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";
